state (Emission order)	H3K9me2	H3K9me1	H2AW7	H2AW6	H1	H3	H2AZ	H2AZ11	H3K27me3	H2AX	H3K36me3
1	5.4331584739813893E-5	0.031063379453515776	0.02643322428643471	0.03867985952977441	0.19639117569811199	0.8439999632010563	0.8998784303546046	0.9662677058754496	0.9976012953434189	0.11898422951701568	0.00484539223624807
2	6.918926103533128E-5	3.998234161390314E-4	0.004463535828655657	0.01041326957466596	0.0926271917361347	0.0810256209966559	0.4076293529349238	0.9424555683529273	0.9706567724846653	0.006766600349366057	0.002078474005331932
3	4.1510409357180624E-4	3.8146993663677763E-4	0.02464285686209089	0.053140038855754884	0.013945711439818787	0.02728607531964119	0.0363977392427187	0.04754076125283343	0.864688773743944	0.016420915974177264	0.0024909943604872705
4	0.06721738715989214	0.13496176906848303	0.6035874846689634	0.7847085816796636	0.12701989519798532	0.1998931774238385	0.0634552667808916	0.12597588490557088	0.9440624026133503	0.07103240007642071	0.0019205933790826947
5	0.012439961475468064	0.019321360569517047	0.535379451664834	0.7894790662265798	0.018235311635646248	0.013843139162539217	0.0024247122497084387	0.005139647368997548	0.009591432258189923	0.008057912321877168	3.684872027629152E-13
6	0.10822631690973934	0.913337201038983	0.9228620781741933	0.9511511422283614	0.28157604824477556	0.30106943091166416	0.006053217102269936	0.02433536556587042	0.03846343203195731	0.018895164592330368	6.647802319014961E-4
7	0.9828148385949838	1.0	0.9439071337101306	0.9987043743077565	0.5489799707242426	0.5713021619205695	0.003391859349020859	0.0020759428829488806	0.03966497441206369	0.06161187134560911	0.0014416958619398806
8	0.9300619460957046	0.8473745099459422	0.6437107043160603	0.9239955926090185	0.028203969261160363	0.043634196880942	2.443004489298638E-4	1.8942544100883436E-4	0.031053299749198807	0.012010130109742842	9.490839362969466E-4
9	0.16272139311085967	0.8127026338510676	0.12080492182917427	0.14497750969796883	0.037597106997239296	0.21971373088456467	0.017721106410378627	0.02657822019975911	0.005011946824091875	0.06477734787047795	0.024554978357016595
10	0.012421670191241931	0.5658553818096335	0.21107235243677164	0.3657929560540098	0.24029509986240954	0.442344395166413	0.2988582069656111	0.7883735947125146	0.099641712510015	0.04437140862178744	0.002082846202807411
11	3.2394419972494517E-18	0.005138829712237687	6.995874655626331E-4	0.001107608296356602	0.03791025943718358	0.026684504289969265	0.43091899434931763	0.8509357742603044	0.0059779373723392645	0.00422079486742642	5.046699650280649E-4
12	1.4789426161700004E-4	0.13558765152547012	0.003901313176056578	0.002418430460511245	0.08727949040808347	0.6873767605224711	0.850304971786788	0.8752882984645922	0.038050378452060385	0.08212557375621281	0.024786758565932623
13	3.5457377154053253E-4	5.857928048812244E-4	0.010264967639410502	0.00442481918308089	0.002335145641028635	0.0025379011769639417	0.014310526153182351	0.010764017143238302	5.681054421133834E-4	9.037985669775025E-8	2.1815326425313616E-14
14	2.1174956101560876E-5	0.0026371884871224695	1.3858066402832854E-4	6.626790398328297E-33	0.0012773602990623903	0.2055506912133797	0.7750921974318088	0.7693709453784774	0.0015923708959486636	0.03369433834207895	0.9543186660877595
15	8.129541875679038E-5	0.00841565792019473	1.0092441178661625E-4	3.0431747276133426E-5	0.004080759369195612	0.0928924547743746	6.42361745265092E-4	4.777895156595144E-18	3.1190610137860915E-4	0.14567020001341938	0.9759217693101881
16	1.951155924759813E-5	0.010368501120221868	4.0599808971541617E-4	3.241928635201698E-4	0.01827857649380843	0.10653275883503856	0.004003789496870669	9.03671310112987E-4	1.5151613944389193E-4	0.13657637672305345	0.014668727059038272
